Id,TipoID,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas
182,CC,236999500.0,0.0,10000000.0,0,216717014.4,2,0.0,0.0
183,CC,2192209300.0,65398150.0,11772240.0,0,13417108.8235294,1,0.0,0.0
184,CC,0.0,0.0,0.0,0,99999785.79,1,99392800.0,0.0
185,CC,0.0,92239850.0,0.0,0,7200000.0,1,0.0,0.0
186,CC,70740750.0,0.0,0.0,0,6490589.92,2,0.0,0.0
187,CC,119268940.0,206855100.0,0.0,0,40531465.75,1,0.0,0.0
188,CC,0.0,0.0,0.0,0,15000000.0,1,0.0,0.0
189,CC,0.0,0.0,6250000.0,0,0.0,0,0.0,0.0
190,CC,0.0,6138216.0,0.0,0,936159.37,1,0.0,0.0
191,CC,251250000.0,436608750.0,230800000.0,0,30000000.0,1,458012750.0,0.0
192,CC,0.0,0.0,108166666.666667,0,526333333.333333,2,0.0,0.0
193,CC,0.0,13002944.0,0.0,0,6744536.82428571,1,0.0,0.0
194,CC,0.0,23500000.0,0.0,0,2788805.78,1,0.0,0.0
195,CC,0.0,9400000.0,0.0,0,1679976.0,2,0.0,0.0
196,CC,0.0,507466000.0,400000000.0,0,4222857.87666667,1,2230907650.0,0.0
197,CC,0.0,11750000.0,0.0,0,1399981.0,1,0.0,0.0
198,CC,0.0,12690000.0,0.0,0,801889.5,1,0.0,0.0
199,CC,0.0,0.0,0.0,0,68763645.2,1,0.0,0.0
200,CC,0.0,22986432.0,640007.0,0,0.0,0,0.0,0.0
201,CC,0.0,0.0,0.0,0,9419714.35333333,1,0.0,0.0
202,CC,0.0,0.0,0.0,0,4461111.11111111,1,0.0,0.0
203,CC,0.0,863986908.0,0.0,0,13666666.6666667,1,189725000.0,0.0
204,CC,0.0,448052040.0,36666666.6666667,0,69624668.94,1,0.0,0.0
205,CC,0.0,505082000.0,0.0,0,794783893.8,1,0.0,0.0
206,CC,0.0,0.0,0.0,0,50000000.0,1,0.0,0.0
207,CC,38843576.7,0.0,0.0,0,24977055.725,2,0.0,0.0
208,CC,0.0,0.0,0.0,0,102441124.665,2,0.0,0.0
209,CC,0.0,0.0,876666666.666667,0,1034249783.075,2,0.0,0.0
210,CC,20565510.0,0.0,0.0,0,5545484.27333333,1,0.0,0.0
211,CC,42189420.0,5051200.0,0.0,0,3252974.66,1,0.0,0.0
212,CC,516465000.0,58395000.0,0.0,0,75997521.865,2,0.0,228000000.0
213,CC,6133001162.16106,0.0,434109847.515,1,102737748.51375,9,0.0,0.0
214,CC,0.0,0.0,16259346.0,0,40750000.0,1,0.0,0.0
215,CC,119622400.0,0.0,0.0,0,6498754.5,1,0.0,0.0
216,CC,194748450.0,45245200.0,25000000.0,3,49861078.3575,1,0.0,0.0
217,CC,0.0,4700000.0,0.0,0,1035639.71,1,0.0,0.0
218,CC,73950800.0,173815570.0,45497500.0,0,75000000.0,1,0.0,0.0
219,CC,0.0,0.0,0.0,0,5000000.0,1,0.0,0.0
220,CC,0.0,0.0,55000000.0,0,2126277.77777778,1,0.0,0.0
221,CC,0.0,0.0,0.0,0,33326160.14,1,0.0,0.0
222,CC,0.0,0.0,0.0,0,255753361.83,2,0.0,0.0
223,CC,0.0,16448188.0,0.0,0,10323936.94,3,0.0,0.0
224,CC,474420000.0,49069308.5,175051243.12,0,57779503.4714286,1,0.0,0.0
225,CC,0.0,12387900.0,0.0,0,100000000.0,1,0.0,0.0
226,CC,0.0,11750000.0,0.0,0,3767224.92,1,0.0,0.0
227,CC,277194069.009413,540918066.0,392900000.0,0,937515000.0,1,574850000.0,1184781666.66667
228,CC,248712500.0,0.0,0.0,0,52028584.5225,1,0.0,0.0
229,CC,0.0,0.0,0.0,0,2000000.0,1,0.0,0.0
230,CC,0.0,0.0,45000000.0,0,33353671.3,1,0.0,0.0
231,CC,0.0,0.0,0.0,0,740135935.02,3,0.0,0.0
232,CC,137243360.0,0.0,0.0,0,14446400.825,1,0.0,0.0
233,CC,0.0,619627280.0,127303105.0,0,0.0,0,0.0,0.0
234,CC,0.0,32490250.0,3000000.0,0,0.0,0,0.0,0.0
235,CC,0.0,0.0,0.0,0,20333333.3333333,1,0.0,0.0
236,CC,994825000.0,0.0,0.0,0,40000000.0,1,0.0,0.0
237,CC,0.0,84910200.0,0.0,0,22350000.0,1,0.0,0.0
238,CC,0.0,12662343.97,0.0,0,2194261522.24,2,0.0,0.0
239,CC,0.0,0.0,0.0,0,15100000.0,1,0.0,0.0
240,CC,179215740.0,0.0,0.0,0,2146094.785,2,0.0,0.0
241,CC,489655000.0,0.0,0.0,0,6278111.03333333,2,0.0,0.0
242,CC,94827000.0,0.0,74000000.0,0,96956777.11,4,0.0,0.0
243,CC,0.0,0.0,0.0,0,80000000.0,2,0.0,0.0
244,CC,239905500.0,117995040.0,57000000.0,0,32842402.4,1,0.0,0.0
245,CC,0.0,26484500.0,0.0,0,18276598.1625,1,0.0,0.0
246,CC,0.0,23500000.0,0.0,0,141910479.41,2,0.0,0.0
247,CC,0.0,0.0,0.0,0,37000000.0,1,0.0,0.0
248,CC,0.0,66668372.0,0.0,0,18268603.04,3,0.0,0.0
249,CC,0.0,11919216.0,0.0,0,3476900.715,1,0.0,0.0
250,CC,0.0,507471980.76,60000000.0,0,38163387.3733333,2,0.0,544928.175
251,CC,0.0,31600000.0,21550000.0,1,23615853.145,1,0.0,0.0
252,CC,346500000.0,0.0,547033527.03,0,9380000.0,1,201040000.0,0.0
253,CC,0.0,59630382.3,0.0,0,206536980.17,2,0.0,0.0
254,CC,123365120.0,0.0,118639994.63,2,25215015.9929412,2,0.0,0.0
255,CC,237546400.0,0.0,0.0,0,6458020.76882353,1,0.0,5472004.62076923
256,CC,0.0,951337899.18,0.0,0,15561590.9090909,2,0.0,127901666.666667
257,CC,0.0,0.0,0.0,0,7857712.895,1,0.0,0.0
258,CC,0.0,0.0,0.0,0,47500000.0,1,0.0,0.0
259,CC,0.0,0.0,0.0,0,16500000.0,2,0.0,0.0
260,CC,0.0,77406690.0,0.0,0,8863238.69,1,0.0,0.0
261,CC,0.0,0.0,23873160.2376471,0,0.0,0,0.0,0.0
262,CC,0.0,0.0,10000000.0,0,55801091.9525,3,0.0,0.0
263,CC,0.0,305102703.0,219264069.666667,8,110000000.0,1,0.0,0.0
264,CC,0.0,0.0,0.0,0,52176466.44,1,0.0,0.0
265,CC,0.0,89585600.0,0.0,0,30000000.0,1,0.0,0.0
266,CC,0.0,0.0,0.0,0,119442064.39,2,0.0,0.0
267,CC,494179000.0,0.0,0.0,0,95634526.5086956,3,0.0,0.0
268,CC,0.0,0.0,0.0,0,35483783.7275,1,0.0,0.0
269,CC,0.0,0.0,0.0,0,98403250.0,4,0.0,149033333.333333
270,CC,0.0,0.0,0.0,0,332409.18,1,0.0,0.0
271,CC,0.0,2361604.8,0.0,0,10903745.7421429,1,0.0,0.0
272,CC,1000075000.0,0.0,521743263.714286,0,42113398.5454545,1,1952250000.0,0.0
273,CC,0.0,37104150.0,0.0,0,9429560.35666667,1,0.0,0.0
274,CC,434539156.0,0.0,440000000.0,0,222488004.445,1,0.0,0.0
275,CC,0.0,0.0,1000000000.0,0,0.0,0,999970000.0,0.0
276,CC,0.0,0.0,42008994.0,0,0.0,0,0.0,0.0
277,CC,481069850.0,0.0,0.0,0,10000000.0,1,0.0,0.0
278,CC,0.0,0.0,195000000.0,0,0.0,0,249822240.0,0.0
279,CC,0.0,0.0,0.0,0,5217967.34,1,0.0,0.0
280,CC,0.0,98119011.0,15000000.0,0,0.0,0,0.0,0.0
281,CC,901554000.0,184488873.0,122500000.0,0,46570477.2857143,1,0.0,0.0
282,CC,0.0,0.0,0.0,0,514095000.0,4,0.0,0.0
283,CC,0.0,0.0,3000000000.0,0,2500000000.0,1,502873000.0,0.0
284,CC,0.0,9495000.0,0.0,0,17000000.0,1,0.0,0.0
285,CC,0.0,91041500.0,51000000.0,1,25159809.0016667,2,0.0,0.0
286,CC,0.0,0.0,0.0,0,20000000.0,1,0.0,0.0
287,CC,0.0,7071660.0,2300000.0,1,0.0,0,0.0,0.0
288,CC,0.0,47206620.0,0.0,0,130200190.76,1,0.0,0.0
289,CC,0.0,0.0,22000000.0,0,124030245.44,1,0.0,0.0
290,CC,0.0,0.0,0.0,0,530046.571428571,1,0.0,0.0
291,CC,0.0,0.0,0.0,0,29100000.0,1,0.0,29100000.0
293,CC,0.0,15349030.0,31114.04,0,0.0,0,0.0,0.0
294,CC,0.0,28628619.24,0.0,0,26872680.3175,2,0.0,0.0
295,CC,0.0,30338800.0,0.0,0,41260429.03,1,0.0,0.0
296,CC,1675530450.0,0.0,100000000.0,0,231964918.315,4,0.0,0.0
297,CC,0.0,7789000.0,0.0,0,5023117.9225,1,0.0,0.0
298,CC,0.0,0.0,0.0,0,12563510.506,1,0.0,0.0
299,CC,0.0,0.0,0.0,0,2616666.66666667,1,0.0,0.0
300,CC,0.0,64757404.47,0.0,0,7619740.43142857,1,0.0,0.0
301,CC,0.0,0.0,0.0,0,174913780.3,2,0.0,0.0
302,CC,0.0,0.0,30000000.0,0,0.0,0,0.0,0.0
303,CC,0.0,73749500.0,0.0,0,1787545.055,1,0.0,0.0
304,CC,0.0,89195880.0,0.0,0,11305847.06,1,0.0,0.0
305,CC,152138694.784547,34052780.0,0.0,0,6678708.30375,1,0.0,0.0
306,CC,0.0,0.0,14576085.7857143,0,309188527.946667,2,0.0,0.0
307,CC,9131633.28,0.0,0.0,0,67485615.39,2,0.0,0.0
308,CC,107895363.189698,0.0,0.0,0,128560769.69,4,0.0,0.0
309,CC,0.0,0.0,54800000.0,1,1634444.76,1,0.0,0.0
310,CC,0.0,76500000.0,287500000.0,3,471666666.666667,1,0.0,0.0
311,CC,0.0,0.0,0.0,0,3162553.89058824,1,0.0,0.0
312,CC,0.0,540629710.0,0.0,0,12693891.1866667,1,0.0,0.0
313,CC,107346352.758792,0.0,0.0,0,101969218.945714,2,410131000.0,0.0
314,CC,0.0,0.0,4018379.83,0,2919683.14285714,1,0.0,0.0
315,CC,0.0,0.0,6454651.76857143,0,79500000.0,2,260587500.0,0.0
316,CC,0.0,0.0,0.0,0,66907113.795,1,0.0,0.0
318,CC,0.0,0.0,0.0,0,122889319.45,3,0.0,0.0
319,CC,73478300.0,0.0,0.0,0,5491748.08666667,1,0.0,0.0
320,CC,104884242.327886,207210970.0,50000000.0,1,366129294.073333,2,0.0,0.0
