Id,Tipo_ID,Ocupacion,Nacimiento,Edad,RangoEtario,Estado,IngresosFinancieros,Activos,Pasivos,Patrimonio,NivelRiesgo,Segmento,RiesgoOcupacion,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas,Cluster
6700,CC,Empleado,1981-10-20,41,31-50,Activo,39044000,123954000,20024000.0,103930000.0,Alto,Personal,2,0.0,0.0,16250000.0,0,0.0,0,0.0,0.0,2
6701,CC,Empleado,1982-05-16,41,31-50,Activo,321974000,906055000,67228000.0,838827000.0,Bajo,Personal,2,0.0,0.0,0.0,0,24400000.0,2,0.0,32247000.8,1
6702,CC,Empleado,1982-03-21,41,31-50,Activo,28000000,1118512,313131000.0,528000000.0,Medio,Personal,2,157326363.491829,0.0,0.0,0,9166666.66666667,1,0.0,0.0,1
6703,CC,Empleado,1983-01-25,40,31-50,Activo,127255000,220776000,172394000.0,48382000.0,Medio,Personal,2,0.0,4740000.0,12682666.6666667,0,15107422.44,1,0.0,0.0,3
6704,CC,Empleado,2001-03-15,22,18-30,Prospecto,95455000,132801000,4833000.0,127968000.0,Medio,Personal,2,24076800.0,0.0,0.0,0,24282121.58,1,0.0,0.0,1
6705,CC,Empleado,1980-09-21,42,31-50,Activo,166163000,271611000,452000.0,271159000.0,Medio,Personal,2,0.0,8460000.0,12000000.0,0,0.0,0,0.0,0.0,3
6706,CC,Empleado,1982-12-27,40,31-50,Activo,96000000,300000000,60000000.0,240000000.0,Medio,Personal,2,0.0,30199702.0,80000000.0,1,63584318.49,1,0.0,0.0,3
6707,CC,Empleado,1983-03-12,40,31-50,Activo,35951000,166034000,881000.0,165153000.0,Medio,Personal,2,0.0,145253645.21,150000.0,0,9400000.0,1,0.0,0.0,3
6708,CC,Empleado,1983-05-31,40,31-50,Activo,9826000,555228000,5000000.0,550228000.0,Medio,Personal,2,0.0,0.0,0.0,0,116500929.64,2,0.0,0.0,1
6710,CC,Empleado,1984-03-05,39,31-50,Activo,70800000,647000000,62000000.0,585000000.0,Medio,Personal,2,0.0,0.0,0.0,0,17997891.85,1,0.0,0.0,1
6714,CC,Empleado,1980-02-16,43,31-50,Inactivo,70737000,160249000,62298000.0,97951000.0,Medio,Personal,2,0.0,10224216.0,0.0,0,667158.11,1,0.0,0.0,0
6716,CC,Empleado,1979-04-06,44,31-50,Activo,404877000,2390868000,434869000.0,1955999000.0,Medio,Personal,2,0.0,178244170.0,40000000.0,0,0.0,0,0.0,0.0,3
6717,CC,Empleado,1979-06-12,44,31-50,Activo,141008000,1525871000,122605000.0,1403266000.0,Medio,Personal,2,0.0,0.0,19149999.875,0,19860972.6166667,1,0.0,0.0,2
6718,CC,Empleado,1979-07-10,44,31-50,Activo,299792000,431921000,110014000.0,321907000.0,Bajo,Personal,2,0.0,2310000.0,3698333.33333333,0,62872703.2625,3,0.0,52489493.48,3
6720,CC,Empleado,1979-11-30,43,31-50,Activo,168353000,974905000,424476000.0,550429000.0,Bajo,Personal,2,0.0,0.0,0.0,0,2370439.94,2,0.0,0.0,1
